,x,y
192,3834.8984603881872,7.47032849615111e-18
193,3836.639770627026,1.4781616630287873e-17
194,3838.3810808658636,2.496537794984057e-17
195,3840.1223911047014,3.4563506976234296e-17
196,3841.86370134354,4.414441244791344e-17
197,3843.6050115823773,3.802977424591325e-17
198,3845.346321821216,-1.8035659133287775e-17
199,3847.087632060055,-5.4819462803040985e-17
200,3848.828942298893,-1.0687788936560855e-17
201,3850.5702525377305,2.3643415945166494e-17
202,3852.311562776569,3.841702050404118e-17
203,3854.052873015408,4.622895060493894e-17
204,3855.794183254246,4.3611906656776314e-17
205,3857.5354934930842,4.8245229817816516e-17
206,3859.276803731922,3.7749426192706785e-17
207,3861.0181139707593,7.97754357093168e-17
208,3862.7594242095984,6.244509528637953e-17
209,3864.500734448436,1.5724774582165736e-17
210,3866.2420446872743,3.199962675322107e-18
211,3867.9833549261125,-5.7284528030078625e-18
212,3869.724665164951,1.1089095610740958e-17
213,3871.465975403789,3.818800727964975e-17
214,3873.207285642628,5.827704467628814e-17
215,3874.9485958814653,3.8959260556626837e-17
216,3876.689906120304,9.468330326213744e-18
217,3878.4312163591426,-3.6365440531342254e-18
218,3880.17252659798,8.406968264802054e-18
219,3881.913836836818,3.1893156200676303e-17
220,3883.6551470756567,3.620906699962279e-17
221,3885.3964573144954,8.67446507457578e-17
222,3887.1377675533327,3.371371455445652e-17
223,3888.8790777921718,2.883613488469673e-17
224,3890.6203880310095,3.0260950181096874e-17
225,3892.3616982698486,3.5685292927031754e-17
226,3894.1030085086854,6.726004084015681e-17
227,3895.8443187475236,8.870205786007878e-17
228,3897.585628986362,8.314571363199267e-17
229,3899.3269392252,3.419744977667753e-17
230,3901.0682494640387,-1.051500083276588e-17
231,3902.8095597028773,1.806651793321968e-17
232,3904.550869941715,5.827899020508886e-17
233,3906.292180180553,3.6765885283324083e-17
234,3908.033490419392,4.2510833308517166e-17
235,3909.77480065823,5.0074648930318406e-17
236,3911.516110897068,7.767577999941631e-17
237,3913.2574211359056,3.2716392816068684e-17
238,3914.9987313747442,4.4651163143498125e-17
239,3916.740041613582,3.80124927885558e-17
240,3918.481351852421,2.701774870720509e-17
241,3920.222662091258,8.260389709588064e-17
242,3921.9639723300966,7.625865417399045e-17
243,3923.7052825689348,3.660036975147467e-17
244,3925.446592807773,3.2384329430965397e-17
245,3927.187903046612,2.0840767556798e-17
246,3928.9292132854494,2.1079677170038014e-17
247,3930.6705235242875,1.483521793398131e-17
248,3932.411833763126,3.8730796580162147e-17
249,3934.153144001964,3.806924730474429e-17
250,3935.8944542408026,3.852693957255968e-17
251,3937.6357644796412,1.8566543650424312e-17
252,3939.3770747184794,9.188355331463532e-18
