Table 3 
Velocity Values at 50 Days from Explosion


SN	vel(${{\rm{H}}}_{\alpha }$)	vel(${{\rm{H}}}_{\alpha }$)	vel(${{\rm{H}}}_{\beta }$)	vel(Fe	vel(Fe II	vel(Fe II	vel(Fe II	vel(Sc II	vel(Na I D)	vel(Ba II)	vel(Sc II)	vel(O I)	
				II lambda4924)	lambda5018)	lambda5169)	/Sc II)	Mult.)					
	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	(km s^-1)	
2008bm	1765 +or- 56	11118 +or- 88	1385 +or- 69	1559 +or- 78	1649 +or- 82	1277 +or- 64	cdots	cdots	1762 +or- 88	cdots	cdots	cdots	
2008bp	6795 +or- 710	8613 +or- 830	7497 +or- 700	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	
2008br	4070 +or- 491	3682 +or- 258	2484 +or- 169	1665 +or- 178	1832 +or- 142	1633 +or- 218	2161 +or- 108	2547 +or- 127	1922 +or- 96	1386 +or- 69	1670 +or- 83	1420 +or- 180	
2008bu	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	
2008ga	7313 +or- 589	6400 +or- 653	5357 +or- 768	3307 +or- 754	3390 +or- 732	3253 +or- 757	4665 +or- 694	3179 +or- 677	4785 +or- 663	cdots	cdots	cdots	
2008gi	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	
2008gr	8832 +or- 752	8361 +or- 435	7548 +or- 385	cdots	5412 +or- 268	5013 +or- 249	5918 +or- 293	5572 +or- 276	7487 +or- 708	cdots	cdots	cdots	
2008H	6608 +or- 790	6734 +or- 703	5355 +or- 941	3863 +or- 420	3791 +or- 360	3738 +or- 350	3821 +or- 400	3678 +or- 783	4669 +or- 760	3390 +or- 325	3430 +or- 410	cdots	
2008hg	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	
2008ho	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	
2008if	8534 +or- 1126	8717 +or- 549	7226 +or- 642	3198 +or- 200	4929 +or- 298	4758 +or- 398	5062 +or- 272	4785 +or- 251	7404 +or- 633	3802 +or- 189	4619 +or- 234	4975 +or- 515	
2008il	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	
2008in	4283 +or- 721	4422 +or- 768	3234 +or- 310	2768 +or- 259	2839 +or- 373	2831 +or- 455	2679 +or- 283	2680 +or- 251	2917 +or- 321	2378 +or- 203	2574 +or- 227	2430 +or- 266	
2008K	7885 +or- 619	7987 +or- 793	6868 +or- 701	cdots	6197 +or- 352	5359 +or- 437	cdots	5491 +or- 301	7066 +or- 501	cdots	cdots	cdots	
2008M	6872 +or- 862	6123 +or- 631	5709 +or- 474	3508 +or- 214	3457 +or- 345	3647 +or- 458	3772 +or- 271	3616 +or- 198	4793 +or- 1056	3388 +or- 217	3507 +or- 275	3040 +or- 290	
2008W	7013 +or- 665	6016 +or- 435	5873 +or- 435	3455 +or- 335	3743 +or- 233	3846 +or- 297	3733 +or- 224	3506 +or- 278	5244 +or- 470	3094 +or- 255	3314 +or- 185	3100 +or- 324	
2009aj	3112 +or- 455	2800 +or- 183	2814 +or- 470	2090 +or- 161	2431 +or- 197	2849 +or- 315	cdots	cdots	3026 +or- 240	cdots	cdots	200 +or- 80	
2009ao	5979 +or- 859	6753 +or- 544	5240 +or- 471	3792 +or- 334	3695 +or- 256	3597 +or- 210	4155 +or- 206	3770 +or- 230	4687 +or- 335	cdots	3416 +or- 170	3120 +or- 290	
2009au	2586 +or- 524	2613 +or- 215	1985 +or- 165	1618 +or- 113	1732 +or- 161	1474 +or- 175	1775 +or- 237	1919 +or- 296	1949 +or- 118	1289 +or- 64	1704 +or- 85	1520 +or- 130	
2009bu	7400 +or- 596	6430 +or- 521	5567 +or- 604	3996 +or- 267	3975 +or- 436	4034 +or- 456	4233 +or- 210	3460 +or- 172	4378 +or- 308	cdots	cdots	cdots	
2009bz	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	cdots	
2009N	4514 +or- 377	4069 +or- 909	2815 +or- 259	2527 +or- 282	2651 +or- 299	2600 +or- 439	2549 +or- 238	2500 +or- 195	2705 +or- 186	2299 +or- 206	2397 +or- 156	2190 +or- 185	
Note. Columns: (1) SN name; (2) velocity of ${{\rm{H}}}_{\alpha }$ absorption component; (3) velocity of ${{\rm{H}}}_{\alpha }$ emission component; (4) velocity of ${{\rm{H}}}_{\beta };$ (5) velocity of Fe II lambda4924; (6) velocity of Fe II lambda5018; (7) velocity of Fe II lambda5169; (8) velocity of Fe II/Sc II; (9) velocity of Sc II Multiplet; (10) velocity of Na I D; (11) velocity of Ba II; (12) velocity of Sc II; and (13) velocity of O I.
